price,brand,model,year,title_status,mileage,color,state,country
55000,ford,srw,2017,clean vehicle,15273,black,pennsylvania, usa
12520,gmc,door,2017,clean vehicle,28972,black,california, usa
16200,jeep,compass,2019,clean vehicle,30061,red,north carolina, usa
19000,chevrolet,malibu,2017,clean vehicle,18414,white,tennessee, usa
5580,dodge,mpv,2017,clean vehicle,46829,gray,texas, usa
54000,ford,srw,2017,clean vehicle,26241,black,pennsylvania, usa
12710,gmc,mpv,2017,clean vehicle,39886,red,california, usa
16000,jeep,compass,2019,clean vehicle,31594,silver,north carolina, usa
27000,buick,enclave,2017,clean vehicle,32107,no_color,tennessee, usa
7760,ford,mpv,2017,clean vehicle,44794,gray,texas, usa
19600,chrysler,300,2019,clean vehicle,42648,gray,south carolina, usa
12920,gmc,mpv,2017,clean vehicle,39165,silver,california, usa
20000,jeep,cherokee,2019,clean vehicle,38355,charcoal,north carolina, usa
18100,buick,door,2017,clean vehicle,46766,silver,florida, usa
23000,chrysler,pacifica,2020,clean vehicle,2473,white,ohio, usa
18500,chrysler,300,2019,clean vehicle,38586,gray,south carolina, usa
13490,gmc,door,2017,clean vehicle,27842,white,california, usa
20700,jeep,cherokee,2019,clean vehicle,31156,white,north carolina, usa
17800,chevrolet,door,2017,clean vehicle,52435,black,florida, usa
6650,ford,door,2017,clean vehicle,29942,black,texas, usa
29100,chrysler,pacifica,2019,clean vehicle,25281,red,south carolina, usa
12710,gmc,door,2017,clean vehicle,32504,silver,california, usa
21100,jeep,cherokee,2019,clean vehicle,28649,silver,north carolina, usa
18600,chevrolet,door,2017,clean vehicle,35200,white,florida, usa
4340,ford,door,2017,clean vehicle,25602,silver,texas, usa
19300,chrysler,300,2019,clean vehicle,34801,gray,south carolina, usa
12780,gmc,door,2017,clean vehicle,31009,black,california, usa
15800,jeep,compass,2019,clean vehicle,35595,charcoal,north carolina, usa
29400,bmw,x3,2017,clean vehicle,23765,black,tennessee, usa
4430,ford,door,2017,clean vehicle,31792,black,texas, usa
19400,chrysler,300,2019,clean vehicle,33135,gray,south carolina, usa
12520,gmc,door,2017,clean vehicle,30636,red,california, usa
15900,jeep,compass,2019,clean vehicle,34502,red,north carolina, usa
26400,buick,door,2017,clean vehicle,25434,white,florida, usa
4140,ford,door,2017,clean vehicle,36732,black,texas, usa
18300,chrysler,300,2019,clean vehicle,41792,gray,south carolina, usa
12520,gmc,door,2017,clean vehicle,31992,black,california, usa
17900,jeep,compass,2019,clean vehicle,32501,red,north carolina, usa
18300,chevrolet,camaro,2017,clean vehicle,28395,black,florida, usa
4640,ford,door,2017,clean vehicle,36139,blue,texas, usa
24000,ford,door,2016,clean vehicle,84413,black,pennsylvania, usa
13200,gmc,door,2017,clean vehicle,33457,white,california, usa
18000,jeep,compass,2019,clean vehicle,29245,gray,north carolina, usa
14900,chevrolet,equinox,2017,clean vehicle,12783,silver,florida, usa
4140,ford,door,2017,clean vehicle,17617,white,texas, usa
11500,ford,door,2016,clean vehicle,36855,black,pennsylvania, usa
9110,ford,door,2017,clean vehicle,110316,white,texas, usa
7350,chrysler,door,2015,clean vehicle,88227,black,pennsylvania, usa
24500,bmw,door,2017,clean vehicle,17626,gray,michigan, usa
9300,ford,door,2017,clean vehicle,120353,white,texas, usa
39800,dodge,challenger,2015,clean vehicle,3641,white,pennsylvania, usa
53500,bmw,m,2017,clean vehicle,29355,blue,michigan, usa
15110,ford,door,2017,clean vehicle,39333,black,texas, usa
34000,ford,door,2015,clean vehicle,42930,white,pennsylvania, usa
26502,chevrolet,colorado,2017,clean vehicle,24993,black,michigan, usa
5990,ford,mpv,2017,clean vehicle,44929,black,texas, usa
13600,ford,focus,2018,clean vehicle,16971,black,south carolina, usa
23605,cadillac,door,2017,clean vehicle,35598,gray,michigan, usa
10780,ford,mpv,2017,clean vehicle,40455,white,texas, usa
13800,ford,focus,2018,clean vehicle,23164,white,south carolina, usa
25201,cadillac,door,2017,clean vehicle,19011,no_color,michigan, usa
7070,ford,mpv,2017,clean vehicle,45191,white,texas, usa
8700,ford,focus,2018,clean vehicle,21405,white,south carolina, usa
18003,chevrolet,malibu,2017,clean vehicle,19117,no_color,michigan, usa
8530,ford,door,2017,clean vehicle,42104,black,texas, usa
23100,dodge,durango,2018,clean vehicle,49496,white,south carolina, usa
24500,cadillac,door,2017,clean vehicle,32418,white,michigan, usa
7000,ford,mpv,2017,clean vehicle,29882,white,texas, usa
17000,ford,escape,2018,clean vehicle,34819,gold,south carolina, usa
34002,chevrolet,1500,2017,clean vehicle,31923,white,michigan, usa
6980,ford,mpv,2017,clean vehicle,29168,gray,texas, usa
25000,dodge,charger,2018,clean vehicle,28307,silver,michigan, usa
20802,chevrolet,colorado,2017,clean vehicle,33791,turquoise,michigan, usa
9200,ford,door,2017,clean vehicle,21770,black,texas, usa
26500,chrysler,pacifica,2017,clean vehicle,18375,gray,michigan, usa
24802,chevrolet,colorado,2017,clean vehicle,14158,gray,michigan, usa
7070,ford,mpv,2017,clean vehicle,30318,black,texas, usa
28500,ford,door,2017,clean vehicle,48086,red,south carolina, usa
47500,cadillac,door,2017,clean vehicle,26562,black,michigan, usa
23500,ford,explorer,2017,clean vehicle,57611,black,south carolina, usa
23505,chevrolet,colorado,2017,clean vehicle,47357,black,michigan, usa
10940,ford,door,2017,clean vehicle,84916,white,texas, usa
32100,ford,f-150,2017,clean vehicle,24521,gray,south carolina, usa
53000,chevrolet,3500,2018,clean vehicle,16105,black,washington, usa
6830,ford,mpv,2017,clean vehicle,35888,gold,texas, usa
11900,dodge,caravan,2017,clean vehicle,59537,gray,south carolina, usa
26414,chevrolet,1500,2017,clean vehicle,55222,black,michigan, usa
4160,dodge,mpv,2018,clean vehicle,32870,gray,florida, usa
19405,chevrolet,door,2017,clean vehicle,39687,silver,michigan, usa
5690,dodge,mpv,2018,clean vehicle,47085,silver,florida, usa
25900,chrysler,van,2017,clean vehicle,32224,silver,south carolina, usa
24005,chevrolet,1500,2017,clean vehicle,51293,beige,michigan, usa
5090,dodge,mpv,2018,clean vehicle,42989,gray,florida, usa
19500,chrysler,300,2017,clean vehicle,31311,gray,arizona, usa
32012,chevrolet,1500,2017,clean vehicle,46091,white,michigan, usa
6800,dodge,dart,2016,clean vehicle,49033,black,michigan, usa
4260,dodge,mpv,2018,clean vehicle,33957,gray,florida, usa
0,dodge,van,2008,salvage insurance,177948,orange,utah, usa
31802,chevrolet,2500,2017,clean vehicle,19845,silver,michigan, usa
7210,dodge,doors,2018,clean vehicle,38910,black,florida, usa
0,dodge,door,2014,salvage insurance,123660,silver,utah, usa
28402,chevrolet,1500,2017,clean vehicle,31234,black,michigan, usa
6800,dodge,doors,2018,clean vehicle,36767,gray,florida, usa
33300,cadillac,esv,2015,clean vehicle,57932,gray,washington, usa
10780,dodge,mpv,2018,clean vehicle,19420,white,florida, usa
6700,ford,cutaway,2014,clean vehicle,204155,beige,pennsylvania, usa
20000,chevrolet,1500,2016,clean vehicle,93493,white,washington, usa
6440,chrysler,doors,2018,clean vehicle,20942,gray,florida, usa
19900,ford,door,2016,clean vehicle,86826,gray,south carolina, usa
37000,chevrolet,door,2015,clean vehicle,45787,white,washington, usa
4040,dodge,mpv,2018,clean vehicle,50765,red,florida, usa
22300,ford,explorer,2016,clean vehicle,62774,black,south carolina, usa
31200,chevrolet,door,2011,clean vehicle,76326,gray,washington, usa
4290,dodge,mpv,2018,clean vehicle,39029,white,florida, usa
22800,ford,el,2016,clean vehicle,72885,silver,south carolina, usa
19002,cadillac,door,2016,clean vehicle,46467,white,michigan, usa
4160,dodge,mpv,2018,clean vehicle,6743,gray,florida, usa
18500,ford,edge,2016,clean vehicle,33514,white,south carolina, usa
39000,bmw,series,2016,clean vehicle,39917,blue,michigan, usa
6060,dodge,doors,2018,clean vehicle,32504,black,florida, usa
28800,ford,door,2016,clean vehicle,77638,white,south carolina, usa
40000,bmw,series,2016,clean vehicle,31727,gray,michigan, usa
6140,dodge,doors,2018,clean vehicle,52966,silver,florida, usa
21000,ford,flex,2016,clean vehicle,24157,gray,south carolina, usa
20105,buick,door,2016,clean vehicle,51393,beige,michigan, usa
6760,dodge,doors,2018,clean vehicle,35461,white,florida, usa
25800,ford,door,2014,clean vehicle,47055,brown,pennsylvania, usa
39000,bmw,series,2016,clean vehicle,33110,black,michigan, usa
5470,dodge,mpv,2018,clean vehicle,39721,black,florida, usa
14600,ford,door,2014,clean vehicle,75785,black,pennsylvania, usa
24502,chevrolet,1500,2016,clean vehicle,33624,black,michigan, usa
15110,ford,door,2017,clean vehicle,42289,white,texas, usa
7900,ford,door,2014,clean vehicle,79422,white,new york, usa
27305,chevrolet,door,2016,clean vehicle,28844,blue,michigan, usa
15290,ford,door,2017,clean vehicle,66582,white,texas, usa
26500,ford,door,2015,clean vehicle,61436,silver,south carolina, usa
25502,chevrolet,door,2016,clean vehicle,58303,silver,michigan, usa
7320,ford,mpv,2017,clean vehicle,55618,white,texas, usa
3800,chevrolet,van,2009,clean vehicle,261648,white,michigan, usa
24502,chevrolet,door,2016,clean vehicle,33045,white,michigan, usa
4140,ford,door,2017,clean vehicle,40747,white,texas, usa
1400,dodge,pk,2002,clean vehicle,185460,black,michigan, usa
18402,cadillac,srx,2016,clean vehicle,26667,gray,michigan, usa
4160,ford,door,2017,clean vehicle,37176,white,texas, usa
175,chrysler,door,2000,salvage insurance,231240,red,north carolina, usa
24503,chevrolet,colorado,2016,clean vehicle,18006,brown,michigan, usa
15840,ford,door,2017,clean vehicle,72445,white,texas, usa
20500,ford,door,2014,clean vehicle,123355,black,south carolina, usa
21003,chevrolet,1500,2016,clean vehicle,44116,silver,michigan, usa
4200,ford,door,2017,clean vehicle,60219,red,texas, usa
17400,ford,door,2011,clean vehicle,135077,red,georgia, usa
32001,chevrolet,door,2016,clean vehicle,32058,black,michigan, usa
0,ford,mpv,2017,clean vehicle,76858,white,texas, usa
15700,ford,cab,2011,clean vehicle,309564,white,south carolina, usa
31009,chevrolet,door,2016,clean vehicle,33928,white,michigan, usa
3740,ford,wagon,2017,clean vehicle,90618,white,texas, usa
5000,dodge,pickup,2001,clean vehicle,109360,white,georgia, usa
31002,chevrolet,door,2016,clean vehicle,71809,white,michigan, usa
3160,ford,doors,2017,clean vehicle,31563,gray,texas, usa
8600,dodge,pickup,2005,clean vehicle,219823,gray,south carolina, usa
6000,chevrolet,malibu,2018,clean vehicle,42090,gray,texas, usa
12990,ford,door,2017,clean vehicle,126523,white,texas, usa
25,chevrolet,vehicl,2020,salvage insurance,7232,black,kentucky, usa
13200,buick,encore,2017,clean vehicle,60171,black,texas, usa
4410,ford,wagon,2017,clean vehicle,209915,white,texas, usa
25,chrysler,door,2005,salvage insurance,151815,silver,massachusetts, usa
22500,chevrolet,camaro,2020,clean vehicle,13826,green,georgia, usa
7420,ford,mpv,2017,clean vehicle,55854,white,texas, usa
13500,ford,door,2016,clean vehicle,45757,silver,arizona, usa
15500,chevrolet,trax,2020,clean vehicle,16545,white,georgia, usa
3540,ford,door,2017,clean vehicle,112893,white,texas, usa
17000,ford,door,2016,clean vehicle,126802,no_color,florida, usa
45500,chevrolet,tahoe,2020,clean vehicle,13303,white,georgia, usa
4130,ford,door,2017,clean vehicle,34061,silver,texas, usa
15700,ford,door,2015,clean vehicle,70251,white,arizona, usa
45500,chevrolet,tahoe,2020,clean vehicle,13679,gray,georgia, usa
4130,ford,doors,2017,clean vehicle,42426,gray,texas, usa
15500,dodge,door,2012,clean vehicle,66452,black,pennsylvania, usa
16300,chevrolet,trax,2020,clean vehicle,18221,white,georgia, usa
4530,ford,mpv,2017,clean vehicle,41455,white,texas, usa
15600,dodge,door,2011,clean vehicle,35275,black,pennsylvania, usa
45500,chevrolet,tahoe,2020,clean vehicle,13885,white,georgia, usa
4100,ford,door,2017,clean vehicle,38815,gray,texas, usa
18200,dodge,door,2011,clean vehicle,162281,white,pennsylvania, usa
10200,chevrolet,door,2013,clean vehicle,56479,black,texas, usa
4080,ford,doors,2017,clean vehicle,61027,black,texas, usa
5700,ford,van,2014,clean vehicle,178703,white,florida, usa
10200,chevrolet,3500,2014,clean vehicle,173469,white,texas, usa
5000,ford,door,2017,clean vehicle,37321,white,texas, usa
1700,ford,door,2014,clean vehicle,112789,white,florida, usa
6200,bmw,door,2011,clean vehicle,80394,gray,texas, usa
3650,ford,door,2016,clean vehicle,68142,white,texas, usa
10500,dodge,door,2014,clean vehicle,74203,white,arizona, usa
43500,chevrolet,2500,2018,clean vehicle,57604,white,georgia, usa
4610,dodge,van,2016,clean vehicle,87229,silver,texas, usa
3450,ford,door,2012,clean vehicle,90711,white,florida, usa
38500,chevrolet,suburban,2018,clean vehicle,11135,silver,georgia, usa
6810,ford,mpv,2016,clean vehicle,66781,silver,texas, usa
2900,ford,cargo,2011,clean vehicle,190994,white,florida, usa
43500,chevrolet,2500,2018,clean vehicle,56007,white,georgia, usa
4450,ford,mpv,2016,clean vehicle,32486,white,texas, usa
5800,ford,door,2011,clean vehicle,195908,white,florida, usa
16500,chevrolet,equinox,2018,clean vehicle,18020,silver,georgia, usa
4240,dodge,mpv,2016,clean vehicle,83262,white,texas, usa
26500,ford,pickup,2008,clean vehicle,62015,white,pennsylvania, usa
13700,chevrolet,equinox,2017,clean vehicle,36421,silver,georgia, usa
8600,ford,door,2016,clean vehicle,73321,white,texas, usa
8000,ford,chassis,2008,clean vehicle,132379,white,florida, usa
14200,chevrolet,equinox,2017,clean vehicle,28013,silver,georgia, usa
7040,ford,mpv,2016,clean vehicle,33291,silver,texas, usa
4700,ford,chassis,2005,clean vehicle,225236,no_color,florida, usa
30851,chevrolet,door,2016,clean vehicle,43176,red,georgia, usa
4880,ford,mpv,2016,clean vehicle,36876,silver,texas, usa
14500,dodge,pickup,2006,clean vehicle,111782,silver,pennsylvania, usa
7600,chevrolet,door,2017,clean vehicle,110489,brown,nebraska, usa
13270,ford,door,2016,clean vehicle,84035,white,texas, usa
12800,ford,door,2012,clean vehicle,131101,gray,arizona, usa
33000,chevrolet,1500,2018,clean vehicle,52521,white,ontario, canada
9280,ford,door,2016,clean vehicle,101380,white,texas, usa
900,ford,van,2003,clean vehicle,142027,white,florida, usa
7560,ford,door,2016,clean vehicle,111476,gray,texas, usa
19500,ford,drw,2011,clean vehicle,76897,white,pennsylvania, usa
17100,chevrolet,malibu,2019,clean vehicle,15780,white,washington, usa
8020,ford,door,2016,clean vehicle,31944,white,texas, usa
10300,ford,fiesta,2019,clean vehicle,18937,black,missouri, usa
22600,chevrolet,van,2019,clean vehicle,9706,white,washington, usa
10480,ford,doors,2016,clean vehicle,57289,gray,texas, usa
10300,ford,fiesta,2019,clean vehicle,19956,silver,missouri, usa
22700,chevrolet,van,2019,clean vehicle,6075,white,washington, usa
7410,ford,door,2016,clean vehicle,21034,gray,texas, usa
10300,ford,fiesta,2019,clean vehicle,22881,gray,missouri, usa
10300,chevrolet,door,2013,clean vehicle,167600,gray,washington, usa
7570,ford,door,2016,clean vehicle,37252,white,texas, usa
67000,dodge,challenger,2019,clean vehicle,10944,blue,ohio, usa
18900,chevrolet,impala,2019,clean vehicle,27601,white,texas, usa
12560,ford,doors,2019,clean vehicle,15958,white,florida, usa
33000,dodge,durango,2019,clean vehicle,32251,white,ohio, usa
18300,chevrolet,impala,2019,clean vehicle,25809,black,texas, usa
11760,ford,cab,2017,clean vehicle,30553,white,texas, usa
31700,dodge,durango,2019,clean vehicle,26549,red,ohio, usa
25,dodge,door,2007,salvage insurance,160528,dark blue,minnesota, usa
0,ford,door,2000,salvage insurance,124969,black,oklahoma, usa
7340,ford,doors,2019,clean vehicle,15854,gray,florida, usa
8200,hyundai,door,2017,clean vehicle,56690,white,connecticut, usa
3000,kia,door,2013,clean vehicle,97142,silver,missouri, usa
6530,jeep,mpv,2019,clean vehicle,10185,black,georgia, usa
0,mazda,door,2009,salvage insurance,117541,gray,indiana, usa
12700,kia,soul,2019,clean vehicle,23514,silver,california, usa
13800,kia,sorento,2017,clean vehicle,86959,gray,north carolina, usa
0,chevrolet,pickup,1998,salvage insurance,258631,gray,texas, usa
725,ford,door,2017,salvage insurance,67279,gray,virginia, usa
7400,ford,doors,2019,clean vehicle,16482,gray,florida, usa
9800,hyundai,elantra,2017,clean vehicle,35687,red,connecticut, usa
0,honda,door,2003,salvage insurance,152608,white,arkansas, usa
4400,jeep,mpv,2019,clean vehicle,17911,green,georgia, usa
10330,infiniti,mpv,2019,clean vehicle,21278,blue,florida, usa
1800,chevrolet,door,2011,salvage insurance,47269,black,arkansas, usa
50,chevrolet,door,2008,salvage insurance,172102,blue,texas, usa
720,ford,wagon,2006,clean vehicle,26914,no_color,florida, usa
22800,ford,door,2017,clean vehicle,67217,red,michigan, usa
2500,ford,door,2017,salvage insurance,78698,black,california, usa
0,ford,door,2003,salvage insurance,246065,gold,kansas, usa
9190,gmc,mpv,2017,clean vehicle,41961,black,virginia, usa
10900,jeep,mpv,2019,clean vehicle,13273,red,michigan, usa
10400,infiniti,mpv,2019,clean vehicle,31713,black,florida, usa
0,chevrolet,door,2004,salvage insurance,0,maroon,wyoming, usa
0,chevrolet,door,2003,salvage insurance,194673,gray,texas, usa
7320,chevrolet,pickup,2008,clean vehicle,325611,silver,florida, usa
22809,ford,f-150,2017,clean vehicle,50732,black,michigan, usa
0,ford,van,1998,salvage insurance,186855,blue,california, usa
0,ford,door,2013,salvage insurance,94004,black,minnesota, usa
5520,gmc,mpv,2017,clean vehicle,52904,silver,virginia, usa
10900,jeep,mpv,2019,clean vehicle,14195,orange,michigan, usa
6330,jeep,mpv,2019,clean vehicle,43965,red,florida, usa
0,chevrolet,door,2009,salvage insurance,117059,black,colorado, usa
25,chevrolet,pickup,2010,salvage insurance,149189,white,colorado, usa
2320,dodge,door,2007,clean vehicle,112182,red,florida, usa
23702,ford,door,2017,clean vehicle,49024,black,michigan, usa
0,ford,chassis,1994,salvage insurance,0,green,california, usa
0,ford,door,1997,salvage insurance,203297,green,minnesota, usa
5520,gmc,mpv,2017,clean vehicle,35821,silver,virginia, usa
4050,heartland,pioneer,2018,clean vehicle,1,gray,pennsylvania, usa
14810,infiniti,mpv,2019,clean vehicle,32611,brown,florida, usa
25,chevrolet,door,2011,salvage insurance,105244,white,colorado, usa
2960,chrysler,van,2008,clean vehicle,164048,red,florida, usa
24800,ford,door,2017,clean vehicle,46955,gray,michigan, usa
0,ford,door,1996,salvage insurance,296860,green,california, usa
0,ford,door,2006,salvage insurance,203158,red,illinois, usa
6270,gmc,mpv,2017,clean vehicle,70443,black,virginia, usa
1880,heartland,trail,2012,clean vehicle,1,white,pennsylvania, usa
10050,infiniti,mpv,2019,clean vehicle,18229,gray,florida, usa
225,chevrolet,door,2014,salvage insurance,87673,red,colorado, usa
26900,chevrolet,traverse,2018,clean vehicle,42941,black,missouri, usa
1420,chrysler,door,2007,clean vehicle,104405,gold,florida, usa
27003,ford,door,2017,clean vehicle,57186,black,michigan, usa
0,ford,door,2002,salvage insurance,214800,black,south carolina, usa
350,ford,door,2004,salvage insurance,236980,gray,illinois, usa
5600,gmc,mpv,2017,clean vehicle,59808,black,virginia, usa
6680,heartland,country,2011,clean vehicle,1,gray,pennsylvania, usa
10120,infiniti,mpv,2019,clean vehicle,20681,white,florida, usa
0,chevrolet,door,2010,salvage insurance,137422,red,colorado, usa
3920,ford,door,2015,clean vehicle,102700,white,georgia, usa
23100,ford,door,2017,clean vehicle,53270,black,michigan, usa
0,gmc,door,2004,salvage insurance,235348,gold,south carolina, usa
5630,gmc,mpv,2017,clean vehicle,27195,black,virginia, usa
0,heartland,sundance,2009,clean vehicle,1,white,pennsylvania, usa
2800,jaguar,doors,2019,clean vehicle,20849,black,florida, usa
0,chevrolet,door,2008,salvage insurance,159266,gray,california, usa
8850,ford,door,2015,clean vehicle,143818,black,georgia, usa
18712,ford,f-150,2017,clean vehicle,67347,black,michigan, usa
0,ford,pickup,2009,salvage insurance,180364,blue,tennessee, usa
0,ford,door,2009,salvage insurance,184889,black,illinois, usa
6300,gmc,mpv,2017,clean vehicle,117400,blue,virginia, usa
2220,heartland,country,2010,clean vehicle,1,white,pennsylvania, usa
6930,jeep,mpv,2019,clean vehicle,47798,red,florida, usa
25,chevrolet,door,2008,salvage insurance,130623,white,california, usa
3440,ford,door,2015,clean vehicle,124542,white,georgia, usa
50412,ford,door,2017,clean vehicle,47129,black,michigan, usa
25,ford,pickup,1994,salvage insurance,206162,white,georgia, usa
950,ford,pk,2001,salvage insurance,229886,red,illinois, usa
9270,gmc,mpv,2017,clean vehicle,19490,gray,virginia, usa
11380,jeep,mpv,2019,clean vehicle,12038,black,michigan, usa
5350,hyundai,mpv,2019,clean vehicle,43536,blue,florida, usa
2725,chevrolet,door,2004,salvage insurance,308451,black,south carolina, usa
3790,ford,door,2015,clean vehicle,100893,gray,georgia, usa
40514,ford,door,2017,clean vehicle,90304,white,michigan, usa
0,ford,door,1997,salvage insurance,146912,green,wisconsin, usa
0,ford,door,1998,salvage insurance,131367,white,illinois, usa
9190,gmc,mpv,2017,clean vehicle,31394,gray,virginia, usa
10330,infiniti,mpv,2019,clean vehicle,25933,gray,florida, usa
1000,acura,door,2008,salvage insurance,118250,gray,michigan, usa
2925,bmw,door,2013,salvage insurance,46060,white,florida, usa
3830,ford,door,2015,clean vehicle,50593,gold,georgia, usa
43402,ford,door,2017,clean vehicle,62387,blue,michigan, usa
1025,gmc,door,2009,salvage insurance,169634,black,michigan, usa
17200,honda,van,2016,clean vehicle,72527,gray,new jersey, usa
54680,harley-davidson,road/street,2016,clean vehicle,9502,black,virginia, usa
6940,honda,door,2010,clean vehicle,217290,no_color,pennsylvania, usa
13080,infiniti,mpv,2019,clean vehicle,17243,gray,florida, usa
25,chevrolet,door,2007,salvage insurance,194903,gray,virginia, usa
10630,ford,door,2015,clean vehicle,82899,white,georgia, usa
43009,ford,door,2017,clean vehicle,76418,white,michigan, usa
25,gmc,door,2003,salvage insurance,138441,white,michigan, usa
4600,ford,pickup,2006,salvage insurance,240740,brown,mississippi, usa
4950,honda,mpv,2016,clean vehicle,71404,black,virginia, usa
3760,hyundai,doors,2019,clean vehicle,30382,silver,florida, usa
3900,acura,door,2009,clean vehicle,179389,black,texas, usa
0,cadillac,coupe,2000,salvage insurance,105169,white,virginia, usa
3830,ford,door,2015,clean vehicle,82534,silver,georgia, usa
53500,ford,door,2017,clean vehicle,55732,white,michigan, usa
25,ford,door,2010,salvage insurance,198596,gray,michigan, usa
25,ford,door,1998,salvage insurance,300021,brown,arkansas, usa
6240,honda,door,2015,clean vehicle,83623,silver,virginia, usa
4150,jeep,door,2014,clean vehicle,108895,white,new york, usa
25,jeep,door,1999,salvage insurance,226972,black,florida, usa
61200,bmw,series,2020,clean vehicle,7509,black,california, usa
0,buick,door,2006,salvage insurance,137464,blue,virginia, usa
13500,bmw,series,2014,clean vehicle,33542,blue,new jersey, usa
6490,ford,door,2015,clean vehicle,74754,black,georgia, usa
51502,ford,door,2017,clean vehicle,27661,black,michigan, usa
250,ford,door,2010,salvage insurance,115241,white,michigan, usa
25,ford,door,1984,salvage insurance,41577,white,arkansas, usa
8160,honda,van,2015,clean vehicle,109027,gray,virginia, usa
7770,jeep,door,2014,clean vehicle,72732,gray,new york, usa
200,jeep,door,2001,salvage insurance,126400,green,maryland, usa
25,audi,door,2008,salvage insurance,177422,black,texas, usa
0,chevrolet,door,1995,salvage insurance,274706,green,arizona, usa
1825,bmw,coupe,2008,salvage insurance,77984,white,georgia, usa
39800,bmw,series,2017,clean vehicle,23177,blue,california, usa
9210,ford,door,2015,clean vehicle,26911,silver,georgia, usa
58500,ford,srw,2019,clean vehicle,21527,blue,washington, usa
125,ford,door,2014,salvage insurance,56461,silver,michigan, usa
3960,honda,door,2015,clean vehicle,95128,white,virginia, usa
5998,hyundai,doors,2014,clean vehicle,122975,phantom black,new york, usa
3700,honda,doors,2014,clean vehicle,162824,blue,new york, usa
0,kia,wagon,2008,salvage insurance,148463,silver,indiana, usa
0,audi,door,2005,salvage insurance,181896,black,california, usa
0,bmw,door,2000,salvage insurance,216657,gray,utah, usa
5000,gmc,door,2012,clean vehicle,140339,black,utah, usa
15050,infiniti,mpv,2019,clean vehicle,26786,white,texas, usa
3960,hyundai,doors,2019,clean vehicle,35623,red,ohio, usa
36300,lincoln,nautilus,2019,clean vehicle,14541,black,california, usa
55600,lexus,gx,2020,clean vehicle,8186,silver,florida, usa
2630,nissan,doors,2018,clean vehicle,36739,gray,california, usa
5690,nissan,mpv,2017,clean vehicle,42616,blue,new jersey, usa
19500,audi,q5,2017,clean vehicle,65833,blue,texas, usa
450,chevrolet,coupe,2008,salvage insurance,123515,yellow,minnesota, usa
20400,cadillac,door,2015,clean vehicle,36122,white,wisconsin, usa
4320,chevrolet,door,2011,clean vehicle,88359,brown,florida, usa
33001,ford,f-150,2017,clean vehicle,35905,gray,michigan, usa
